Dynamic_Symmetry_Strength,Dynamic_Field_Strength,Spread_Width,Num_Pucks,Bias_ON,Bias_Strength,Num_Lobes,Symmetry_Type,Symmetry_Strength,Dynamic_Lobes,Field_Force_Profile,Dynamic_Field,Field_Strength,Experiment_Notes
0.05,0.1,1.0,100,True,2,3,Rotational,0.2,True,Constant,False,-0.9,"Test all settings for Symmetry=Rotational, FieldProfile=Constant"
0.1,0.1,1.5,100,False,3,3,Rotational,0.2,True,Dynamic,False,-0.8,"Test all settings for Symmetry=Rotational, FieldProfile=Dynamic"
0.15,0.1,2.0,100,True,4,3,Rotational,0.2,True,Sinusoidal,False,-0.7,"Test all settings for Symmetry=Rotational, FieldProfile=Sinusoidal"
0.2,0.1,2.5,100,False,5,3,Rotational,0.2,True,Custom,False,-0.6,"Test all settings for Symmetry=Rotational, FieldProfile=Custom"
0.05,0.13,1.0,200,True,2,4,Elliptical,0.3,False,Constant,True,-0.9,"Test all settings for Symmetry=Elliptical, FieldProfile=Constant"
0.1,0.13,1.5,200,False,3,4,Elliptical,0.3,False,Dynamic,True,-0.8,"Test all settings for Symmetry=Elliptical, FieldProfile=Dynamic"
0.15,0.13,2.0,200,True,4,4,Elliptical,0.3,False,Sinusoidal,True,-0.7,"Test all settings for Symmetry=Elliptical, FieldProfile=Sinusoidal"
0.2,0.13,2.5,200,False,5,4,Elliptical,0.3,False,Custom,True,-0.6,"Test all settings for Symmetry=Elliptical, FieldProfile=Custom"
0.05,0.16,1.0,300,True,2,5,Spoked,0.4,True,Constant,False,-0.9,"Test all settings for Symmetry=Spoked, FieldProfile=Constant"
0.1,0.16,1.5,300,False,3,5,Spoked,0.4,True,Dynamic,False,-0.8,"Test all settings for Symmetry=Spoked, FieldProfile=Dynamic"
0.15,0.16,2.0,300,True,4,5,Spoked,0.4,True,Sinusoidal,False,-0.7,"Test all settings for Symmetry=Spoked, FieldProfile=Sinusoidal"
0.2,0.16,2.5,300,False,5,5,Spoked,0.4,True,Custom,False,-0.6,"Test all settings for Symmetry=Spoked, FieldProfile=Custom"
0.05,0.19,1.0,400,True,2,6,Randomized,0.5,False,Constant,True,-0.9,"Test all settings for Symmetry=Randomized, FieldProfile=Constant"
0.1,0.19,1.5,400,False,3,6,Randomized,0.5,False,Dynamic,True,-0.8,"Test all settings for Symmetry=Randomized, FieldProfile=Dynamic"
0.15,0.19,2.0,400,True,4,6,Randomized,0.5,False,Sinusoidal,True,-0.7,"Test all settings for Symmetry=Randomized, FieldProfile=Sinusoidal"
0.2,0.19,2.5,400,False,5,6,Randomized,0.5,False,Custom,True,-0.6,"Test all settings for Symmetry=Randomized, FieldProfile=Custom"
0.05,0.22,1.0,500,True,2,7,Mirrored,0.6,True,Constant,False,-0.9,"Test all settings for Symmetry=Mirrored, FieldProfile=Constant"
0.1,0.22,1.5,500,False,3,7,Mirrored,0.6,True,Dynamic,False,-0.8,"Test all settings for Symmetry=Mirrored, FieldProfile=Dynamic"
0.15,0.22,2.0,500,True,4,7,Mirrored,0.6,True,Sinusoidal,False,-0.7,"Test all settings for Symmetry=Mirrored, FieldProfile=Sinusoidal"
0.2,0.22,2.5,500,False,5,7,Mirrored,0.6,True,Custom,False,-0.6,"Test all settings for Symmetry=Mirrored, FieldProfile=Custom"
