Dynamic_Symmetry_Strength,Dynamic_Field_Strength,Spread_Width,Num_Pucks,Bias_ON,Bias_Strength,Num_Lobes,Symmetry_Type,Symmetry_Strength,Dynamic_Lobes,Field_Force_Profile,Dynamic_Field,Field_Strength,Experiment_Notes
0.0,0.0,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.012558103905862676,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.02506664671286085,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.037476262917144926,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.049737977432970974,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.06180339887498949,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.0736249105369356,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.08515585831301453,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.09635073482034306,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.10716535899579932,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.11755705045849461,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.12748479794973794,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.13690942118573773,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.14579372548428235,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.15410264855515787,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.1618033988749895,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.16886558510040303,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.17526133600877272,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.18096541049320392,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.18595529717765027,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19021130325903074,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19371663222572627,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19645745014573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19842294026289556,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19960534568565433,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.2,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19960534568565436,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19842294026289553,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19645745014573776,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
0.0,0.19371663222572627,0.12,1000,False,0.0,1,Rotational,0.0,0,None,0,0,
